Nombre;Extensión;Población;Densidad;Altitud
Santaliestra y San Quílez;23.3;87;4.2;570
Azlor;15.9;143;8.4;510
Fraga;437.6;15024;33;120
Villanova;6.9;164;22.8;982
Palo;14.4;26;2;720
Alfántega;8.8;135;14.8;210
Estada;15.9;202;14.7;382
Plan;92.5;287;3.5;1100
Biescas;189.1;1480;8.4;880
Alcubierre;115.3;377;3.8;466
Pueyo de Santa Cruz;9.3;255;39.9;246
Boltaña;139.5;941;7.6;640
Nueno;147.2;537;3.8;726
Panticosa;95.9;795;8.6;1184
Hoz y Costeán;57.5;221;3.6;725
Igriés;19.2;686;34.7;605
Tardienta;90.6;973;11;389
San Juan de Plan;55.8;142;2.8;1121
Monzón;155;17166;111.1;279
La Puebla de Castro;29.4;361;14.1;649
Hoz de Jaca;12.5;76;5.6;1272
Benabarre;157.1;1110;7.5;788
Santa Cruz de la Serós;27;177;7;788
San Esteban de Litera;71.9;485;7.1;471
Vicién;13.8;121;8.6;394
Yebra de Basa;90.9;147;1.7;880
Sahún;72.9;305;4.7;1124
Novales;20.1;155;8.7;464
Peraltilla;16.2;200;13.1;429
Alcampell;58;671;13.1;499
Foradada de Toscar;106.4;178;2;980
Binaced;78.5;1524;18.9;279
Castejón del Puente;25.4;528;14.6;382
Tamarite de Litera;110.6;3507;33.6;357
Sopeira;44.1;96;2.7;720
